Max Temperature,60,52,48,-
Avg Temperature,48,43,37,-
Min Temperature,31,27,24,-
Max Temperature,66,54,50,-
Avg Temperature,56,48,40,-
Min Temperature,46,41,32,-
Max Temperature,74,56,49,-
Avg Temperature,57,49,41,-
Min Temperature,46,41,33,-
Max Temperature,89,70,51,-
Avg Temperature,67,56,45,-
Min Temperature,51,46,36,-
Max Temperature,88,70,53,-
Avg Temperature,70,60,49,-
Min Temperature,55,54,42,-
Max Temperature,98,80,65,-
Avg Temperature,76,63,52,-
Min Temperature,60,52,44,-
Max Temperature,95,77,60,-
Avg Temperature,79,67,55,-
Min Temperature,69,60,50,-
Max Temperature,101,83,67,-
Avg Temperature,85,70,56,-
Min Temperature,68,60,48,-
Max Temperature,87,70,56,-
Avg Temperature,74,62,49,-
Min Temperature,61,54,42,-
Max Temperature,69,62,55,-
Avg Temperature,61,55,48,-
Min Temperature,53,47,39,-
Max Temperature,68,57,54,-
Avg Temperature,57,51,45,-
Min Temperature,48,44,37,-
Max Temperature,52,48,42,-
Avg Temperature,42,37,32,-
Min Temperature,32,28,22,-
