Max Temperature,54,48,44,-
Avg Temperature,44,38,32,-
Min Temperature,35,28,18,-
Max Temperature,59,50,48,-
Avg Temperature,47,41,36,-
Min Temperature,37,34,27,-
Max Temperature,57,52,48,-
Avg Temperature,52,47,42,-
Min Temperature,44,40,33,-
Max Temperature,66,56,52,-
Avg Temperature,58,51,45,-
Min Temperature,52,46,37,-
Max Temperature,84,70,59,-
Avg Temperature,67,58,50,-
Min Temperature,51,48,43,-
Max Temperature,93,78,64,-
Avg Temperature,71,63,55,-
Min Temperature,62,57,48,-
Max Temperature,86,74,64,-
Avg Temperature,78,67,58,-
Min Temperature,70,63,54,-
Max Temperature,93,80,69,-
Avg Temperature,81,70,61,-
Min Temperature,71,65,57,-
Max Temperature,88,76,69,-
Avg Temperature,73,65,57,-
Min Temperature,60,54,46,-
Max Temperature,68,58,52,-
Avg Temperature,61,53,45,-
Min Temperature,50,46,37,-
Max Temperature,66,60,55,-
Avg Temperature,51,47,42,-
Min Temperature,41,38,33,-
Max Temperature,54,49,44,-
Avg Temperature,46,40,35,-
Min Temperature,35,32,26,-
