Max Temperature,90,77,69,Jan
Avg Temperature,78,68,58,Jan
Min Temperature,69,62,52,Jan
Max Temperature,80,67,59,Feb
Avg Temperature,67,60,53,Feb
Min Temperature,58,54,44,Feb
Max Temperature,88,72,59,Mar
Avg Temperature,77,66,54,Mar
Min Temperature,63,56,46,Mar
Max Temperature,90,77,69,Apr
Avg Temperature,78,68,58,Apr
Min Temperature,69,62,52,Apr
Max Temperature,94,79,63,May
Avg Temperature,75,67,59,May
Min Temperature,66,59,51,May
Max Temperature,94,81,67,Jun
Avg Temperature,80,72,63,Jun
Min Temperature,70,66,60,Jun
Max Temperature,98,85,72,Jul
Avg Temperature,86,77,67,Jul
Min Temperature,75,69,63,Jul
Max Temperature,102,88,74,Aug
Avg Temperature,85,77,68,Aug
Min Temperature,77,72,65,Aug
Max Temperature,102,89,78,Sep
Avg Temperature,84,75,66,Sep
Min Temperature,73,69,59,Sep
Max Temperature,104,86,69,Oct
Avg Temperature,85,74,63,Oct
Min Temperature,69,66,59,Oct
Max Temperature,93,78,64,Nov
Avg Temperature,76,67,57,Nov
Min Temperature,68,61,49,Nov
Max Temperature,83,68,53,Dec
Avg Temperature,74,61,48,Dec
Min Temperature,60,53,40,Dec
