City,Longitude,Latitude,Max Temperature(F),Humidity(%),Cloudiness,Wind Speed(mph)
iguape,-47.56,-24.7,83.28,92,0,3.74
avarua,-159.78,-21.21,75.2,73,75,4.7
bredasdorp,20.04,-34.53,75.2,57,12,8.05
mayor pablo lagerenza,-60.77,-19.93,88.82,54,36,26.66
hasaki,140.83,35.73,35.6,55,75,3.36
ust-nera,143.24,64.57,-52.94,0,36,2.06
jalu,21.55,29.03,64.07,38,0,10.89
bluff,149.07,-23.58,78.38,57,20,14.7
havre-saint-pierre,-63.6,50.23,6.8,50,75,18.34
dhidhdhoo,73.1,6.88,80.9,100,8,7.76
carmo do paranaiba,-46.32,-19.0,75.68,99,0,5.97
new norfolk,147.06,-42.78,60.8,77,75,5.82
ushuaia,-68.31,-54.81,50.0,85,40,6.93
akureyri,-18.09,65.68,24.24,88,80,3.4
rikitea,-134.97,-23.12,80.45,95,92,14.7
nurota,65.69,40.56,51.8,53,48,16.11
hermanus,19.24,-34.42,81.66,46,8,6.2
albany,-73.75,42.65,15.08,58,75,6.93
starychi,23.55,49.97,23.0,85,75,4.47
yalta,37.27,46.96,27.75,100,92,27.78
airai,125.41,-8.93,71.63,90,12,1.39
geraldton,-86.95,49.72,15.8,78,90,16.11
hobart,147.33,-42.88,60.8,77,75,5.82
tak,99.12,16.87,75.99,77,68,2.95
hithadhoo,73.08,-0.6,78.38,100,92,3.96
atuona,-139.03,-9.8,81.03,100,68,16.26
kargasok,80.87,59.06,12.0,74,76,7.54
half moon bay,-122.43,37.46,51.08,100,90,3.51
flinders,150.85,-34.58,68.0,100,90,4.7
praia,-43.81,-20.25,80.6,57,0,10.29
narsaq,-46.05,60.91,16.82,75,88,3.74
aklavik,-135.01,68.22,-13.01,69,90,5.82
maxixe,35.35,-23.86,82.11,82,0,14.14
cap-aux-meules,-61.86,47.38,23.0,85,90,41.38
port saint lucie,-80.35,27.29,62.6,82,40,4.74
brest,23.69,52.09,17.6,85,44,4.63
bartica,-58.62,6.41,80.6,83,40,13.87
nara,135.8,34.68,46.4,75,40,10.29
victoria,115.24,5.28,82.4,88,75,6.93
lavrentiya,-170.99,65.58,3.27,93,0,18.61
thinadhoo,72.93,0.53,82.83,100,92,14.14
mar del plata,-67.52,-46.43,60.92,48,0,19.62
bathsheba,-59.52,13.22,80.6,69,20,23.04
ancud,-73.83,-41.87,55.4,82,75,11.41
leningradskiy,178.42,69.38,-8.21,81,12,21.18
vaini,74.49,15.34,84.2,38,0,3.36
bilma,12.92,18.69,65.15,41,8,4.63
pangnirtung,-65.72,66.15,-16.61,62,20,4.97
port alfred,26.89,-33.59,78.2,64,56,17.05
guerrero negro,-114.04,27.97,44.94,99,12,3.51
ixtapa,-105.21,20.71,66.2,100,5,8.05
saint-michel-des-saints,-73.92,46.68,-2.81,60,0,4.74
sao joao da barra,-41.05,-21.64,87.8,52,0,10.29
kerema,145.78,-7.96,73.97,94,44,1.72
nha trang,109.19,12.24,80.6,78,40,11.41
bethel,-161.76,60.79,6.98,84,90,6.93
hailar,119.7,49.2,-10.86,68,56,8.21
saint-philippe,-73.48,45.36,5.0,54,1,4.7
kijang,129.21,35.24,37.4,37,0,9.17
new glasgow,-62.65,45.59,22.35,79,80,20.07
chuy,-53.46,-33.69,72.21,98,88,18.39
kalmunai,81.82,7.42,80.76,74,24,8.66
pisco,-76.2,-13.71,71.6,30,80,2.24
lebu,38.73,8.96,74.64,12,8,10.0
mataura,168.86,-46.19,52.77,70,0,10.45
kawalu,108.21,-7.38,68.57,100,80,1.16
ostersund,14.64,63.18,30.2,80,0,5.82
punta arenas,-70.91,-53.16,46.4,70,75,12.75
indianola,-100.42,40.24,37.94,56,1,17.22
tuktoyaktuk,-133.03,69.44,-6.36,89,44,6.08
najran,44.22,17.54,86.0,14,0,9.17
acapulco,-99.88,16.86,73.4,88,40,4.7
salalah,54.1,17.01,78.8,69,40,8.05
pingxiang,113.85,27.63,42.33,97,92,2.39
cherskiy,161.3,68.75,-24.41,36,8,1.72
santiago del estero,-64.26,-27.8,71.18,100,36,2.28
san patricio,-56.83,-26.98,77.93,90,92,10.78
khatanga,102.47,71.98,-35.34,0,8,5.97
butaritari,172.79,3.07,83.37,100,36,17.72
homer,-151.54,59.64,15.08,75,1,3.36
ponta do sol,-46.0,-20.63,74.78,78,56,5.53
kobryn,24.36,52.21,17.6,85,68,5.64
tasiilaq,-37.64,65.61,23.0,41,48,5.82
inhambane,35.38,-23.87,82.11,82,0,14.14
shache,77.24,38.42,24.47,67,64,2.84
halifax,-63.58,44.65,21.2,67,75,26.4
mecca,39.83,21.43,84.27,30,12,7.2
